يونس N SBJ  Arg1 نفر§n-13075 role
يونس N SBJ  Arg0 نفر§n-13075 role
( PUNC PUNC null null junk
ع ARAB POSDEP null null junk
) PUNC PUNC null null junk
از PREP MOS  Arg2 null junk
پيامبران N MOS  Arg2 نفر§n-13075 role
بني‌اسراييل N MOZ null null role
است V ROOT null null junk
که SUBR NCL null null junk
بعداز PREP ADVRB  ArgM_TMP null no
سليمان N POSDEP null نفر§n-13075 role
ظهور N NVE null رخداد§n-13136 role_intent
کرد V PRD null null junk
. PUNC PUNC null null junk

ايشان PR SBJ  Arg0 null junk
به‌خاطر PREP ADVRB  ArgM_CAU null no
اين PR POSDEP null null junk
که SUBR NCL null null junk
در PREP VPP  Arg3 null junk
شکم N VPP  Arg3 رابطه§n-13628 no
ماهي N MOZ null جانور§n-12239 dynamic_object
قرار N NVE null null no
گرفت V PRD null null junk
با PREP VPP  Arg2 null junk
لقب N VPP  Arg2 null no
ذوالنون N MOZ null null role_state
( PUNC PUNC null null junk
صاحب N APP null نفر§n-13075 role_state
الحوت ARAB MOZ null جانور§n-12239 dynamic_object
) PUNC PUNC null null junk
ياد N NVE null null no
شده‌است V ROOT null رخداد§n-13136 no
. PUNC PUNC null null junk

قبر N SBJ  Arg1 جا§n-12733 static_object
ايشان PR MOZ null null junk
در PREP VPP  Arg3 null junk
نزديکي N VPP  Arg3 جا§n-12733 location
کوفه N MOZ null null location
و CONJ PCONJ null null junk
در PREP POSDEP null null junk
کنار N POSDEP null null junk
رود N MOZ null مشخصه§n-12756 static_object
فرات N MOZ null مشخصه§n-12756 location
قرار N NVE null null no
دارد V ROOT null null junk
. PUNC PUNC null null junk

شهر N SBJ null جا§n-12733 location
نينوا N MOZ  Arg1 null location
نينوا N MOZ  Arg1 null location
در PREP NPP null null junk
منطقه N NPP null جا§n-12733 location
موصل N MOZ null null location
( PUNC PUNC null null junk
در PREP POSDEP null null junk
عراق N POSDEP null جا§n-12733 location
کنوني ADJ NPOSTMOD null null junk
) PUNC PUNC null null junk
پايتخت N TAM  Arg2 جا§n-12733 location
دولت N MOZ null مشخصه§n-12756 no
عاشوريان N MOZ null null role
به PREP VPRT null null junk
شمار N VPRT null null no
مي‌رفت V VCONJ null رخداد§n-13136 no
( PUNC PUNC null null junk
نينوا N SBJ  Arg1 null location
در PREP ADVRB  ArgM_TMP null junk
آن ADJ NPREMOD null null junk
دوران N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
از PREP AJPP null null junk
غني‌ترين ADJ NPREMOD null مشخصه§n-12756 static_object_state
و CONJ AJCONJ null null junk
بزرگترين ADJ AJCONJ null مشخصه§n-12756 static_object_state
شهرهاي N AJPP null جا§n-12733 location
مشرق‌زمين N MOZ null null no
محسوب ADJ MOS  Arg2 مشخصه§n-12756 no
مي‌شد V POSDEP null null no
) PUNC PUNC null null junk
و CONJ VCONJ null null junk
داراي ADJ MOS  Arg2 null no
جمعيتي N NEZ null گروه§n-12753 role
بيش‌از ADJ NPREMOD null null no
صدهزار NUM NPREMOD null null junk
نفر N POSDEP null اندازه§n-12768 no
بود V ROOT null null junk
. PUNC PUNC null null junk

خداوند N SBJ  Arg0 خصوصيت_رواني§n-12725 role
حضرت N OBJ  Arg1 null role_state
يونس N MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
به‌سوي PREP VPP  Arg3 null no
آنان PR POSDEP null null junk
فرستاد V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

او PR SBJ  Arg0 null junk
آن‌ها PR OBJ  Arg1 null role
را POSTP OBJ  Arg1 null junk
به PREP NPP  Arg3 null junk
راه N POSDEP null null junk
راست ADJ NPOSTMOD null مشخصه§n-12756 no
و CONJ NCONJ null null junk
پرستش N NCONJ null رخداد§n-13136 role_intent
خداي N MOZ null خصوصيت_رواني§n-12725 role
يکتا ADJ NPOSTMOD null مشخصه§n-12756 role_state
دعوت N NVE null خبر§n-12766 role_intent
مي‌نمود V VCONJ null رخداد§n-13136 role_action
اما CONJ VCONJ  ArgM_DIS null junk
آن‌ها PR SBJ  Arg0 null role
بر PREP NPP  Arg3 null junk
کفر N POSDEP null null role_intent
خود PR MOZ null null junk
اصرار N NVE null رخداد§n-13136 no
مي‌ورزيدند V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

بعداز PREP ADVRB  ArgM_TMP null no
33 NUM NPREMOD null null junk
سال N MESU null دوره_زماني§n-12603 time
دعوت N POSDEP null خبر§n-12766 role_intent
، PUNC PUNC null null junk
جز PREP SBJ  Arg0 null junk
2 NUM NPREMOD null null junk
نفر N POSDEP null اندازه§n-12768 no
به PREP VPP  Arg3 null junk
او PR POSDEP null null junk
نگرويدند V ROOT null رخداد§n-13136 role_action
که SUBR NCL null null junk
يکي‌از ADJ APREMOD null null no
آن ADJ APREMOD null null junk
دو NUM SBJ  Arg1 null junk
دوست N MOS  Arg2 نفر§n-13075 role
قديمي ADJ NPOSTMOD null null role_state
ش PR MOZ null نفر§n-13075 role
روبيل N APP  Arg1 null role
بود V PREDEP null null junk
که SUBR NCL null null junk
از PREP MOS  Arg2 null junk
دانشمندان N MOS  Arg2 نفر§n-13075 role_state
بود V PRD null null junk
و CONJ VCONJ null null junk
ديگري PR SBJ  Arg1 null junk
عابد N TAM  Arg2 نفر§n-13075 role_state
و CONJ NCONJ null null junk
زاهدي N NCONJ null نفر§n-13075 role_state
به PREP NPP null null junk
نام N POSDEP null null junk
تنوخا N MOZ null null role
نام N NVE null null junk
داشت V PRD null null junk
. PUNC PUNC null null junk

هنگامي N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
که SUBR NCL null null junk
زحمات N SBJ  Arg1 رخداد§n-13136 role_intent
يونس N MOZ null نفر§n-13075 role
بي‌نتيجه ADV ADVC  Arg2 مشخصه§n-12756 no
ماند V PRD null رخداد§n-13136 no
تصميم N NVE null رخداد§n-13136 role_intent
گرفت V ROOT null null junk
تا SUBR VCL  Arg3 null junk
مردم N PREDEP null null junk
ش PR MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
نفرين N NVE null null no
کند V PRD null null junk
. PUNC PUNC null null junk

روبيل N SBJ  Arg0 null role
به PREP VPP  Arg3 null junk
او PR POSDEP null null junk
گفت V ROOT null null junk
که SUBR VCL  Arg1 null junk
اين ADJ NPREMOD null null junk
کار N OBJ  Arg1 رخداد§n-13136 role_intent
را POSTP OBJ  Arg1 null junk
نکن V PRD null رخداد§n-13136 no
زيراکه SUBR AJUCL  ArgM_CAU null no
خداوند N SBJ  Arg0 خصوصيت_رواني§n-12725 role
هلاکت N OBJ  Arg1 رخداد§n-13136 role_state
آن‌ها PR MOZ null گروه§n-12753 role
را POSTP OBJ  Arg1 null junk
نمي‌پسندد V PRD null رخداد§n-13136 no
، PUNC PUNC null null junk

درنتيجه SUBR ROOT  ArgM_DIS null no
يونس N SBJ  Arg0 نفر§n-13075 role
قوم N OBJ  Arg1 گروه§n-12753 role
ش N MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
نفرين N NVE null null role_intent
کرد V PRD null null junk
. PUNC PUNC null null junk

روبيل N SBJ  Arg0 null role
به‌نزد PREP VPP  Arg4 null location
مردم N POSDEP null null junk
رفت V PREDEP null null junk
و CONJ VCONJ null null junk
از PREP VPP  Arg3 null junk
آنان PR POSDEP null null junk
خواست V ROOT null null junk
